Cafe,"0901-Cafe incluso tostado descafeinado; cascara y cascarilla de cafe; sucedaneos del cafe.",901119000,"Los demas cafes sin tostar - sin descafeinar.",6356,926
Azucar,"1701-Azucar de caña o de remolacha y sacarosa quimicamente pura - en estado solido.",1701140000,"Los demas azucares en bruto de caña sin adicion de aromatizante ni colororante en estado solido.",4578,9021
Azucar,"1701-Azucar de caña o de remolacha y sacarosa quimicamente pura - en estado solido.",1701999000,"Los demas azucares de caña o de remolacha y sacarosa quimicamente pura - en estado solido.",9737,18779
Azucar,1703-Melaza procedente de la extraccion o del refinado del azucar.,1703100000,Melaza de caña.,67,747
Bananos o platanos,"0803-Bananas o platanos frescos o secos.",803101000,"""PLATANOS """"PLANTAINS"""" FRESCOS.""",92,26
Cacao,"1801-CACAO EN GRANO ENTERO O PARTIDO CRUDO O TOSTADO.",1801001900,"Los demas cacaos crudos en grano entero o partido.",34,5
Cafe,"0901-Cafe incluso tostado descafeinado; cascara y cascarilla de cafe; sucedaneos del cafe.",901900000,Cascara y cascarilla de cafe; sucedaneos del cafe que contengan cafe en cualquier proporcion.,5,1
Chocolates,1806-Chocolate y demas preparaciones alimenticias que contengan cacao.,1806320090,"Los demas chocolates y demas preparaciones alimenticas que contengan cacao en bloques tabletas o barras sin rellenar.",38,3
Mezclas y pastas productos de panaderia,"1901-Extracto de malta; preparaciones alimenticias de harina semola almidon fecula.",1901200000,"Mezclas y pastas para la preparacion de productos de panaderia pasteleria o galleteria de la partida 19.05.",5,2
Palmitos,"2008-Frutas y otros frutos y demas partes comestibles de plantas preparados o conservados.",2008910000,"Palmitos preparados o conservados de otra forma incluso con adicion de azucar u otro edulcorante.",130,30
Por definir (fuente DANE),"2202-Agua incluidas el agua mineral y la gaseada con adicion de azucar u otro dulcorante..",2202990000,Las demas bebidas no alcoholicas excepto los jugos de la partida 20.09,13,13
Preparaciones alimenticias -otras,"1901-Extracto de malta; preparaciones alimenticias de harina semola almidon fecula.",1901909000,Las demas preparaciones alimenticias de la partida 19.01 no expresadas ni comprendidas en otras partidas.,6,1
Preparaciones alimenticias -otras,2106-Preparaciones alimenticias no expresadas ni comprendidas en otra parte.,2106901000,"Polvos para la preparacion de budines cremas helados postres gelatinas y similares.",1,0
Preparaciones alimenticias -otras,2106-Preparaciones alimenticias no expresadas ni comprendidas en otra parte.,2106909000,Las demas preparaciones alimenticias no expresadas ni comprendidas en otra parte.,537,698
Productos a base de cereales,1904-Productos a base de cereales obtenidos por inflado o tostado (por ejemplo: hojuelas.,1904100000,"Productos a base de cereales obtenidos por inflado o tostado.",1,0
Productos a base de cereales,1904-Productos a base de cereales obtenidos por inflado o tostado (por ejemplo: hojuelas.,1904200000,preparaciones alimenticias obtenidas con copos de cereales sin tostar o con mezclas de copos de cereales sin tostar y copos de cereales tostados o cereales inflados.,4,1
Productos a base de cereales,1904-Productos a base de cereales obtenidos por inflado o tostado (por ejemplo: hojuelas.,1904900000,"Los demas cereales (excepto el maiz) en grano precocidos o preparados de otra forma.",10,2
"Productos de panaderia pasteleria y galleteria","1905-Productos de panaderia pasteleria o galleteria incluso con adicion de cacao; hostias sellos.",1905909000,"Los demas productos de panaderia pasteleria o galleteria incluso con cacao. Hostias sellos vacios del tipo de los usados para medicamentos obleas para sellar pastas secas de harina almidon o fecula en hojas y productos similares.",13,3
Quinua,"1008-Alforton mijo y alpiste; los demas cereales.",1008509000,Las demas Quinua (Quinoa) (Chenopodium quinoa).,3,1
Salsa de tomate,"2103-Preparaciones para salsas y salsas preparadas; condimentos y sazonadores compuestos.",2103200000,"""Ketchup"" y demas salsas de tomate preparada.",5,1
